# Curated notes for the registers that matter most. Merged into the register descriptions at startup.
# Format: <register name><TAB><note>. Notes bridge python-luxtronik names and the Luxtronik menu / manual vocabulary.
# Menu paths refer to the Luxtronik 2.1 display: Heizung, Trinkwarmwasser, Kuehlung, Service > Informationen / Einstellungen.
#
# ---- parameters: operating modes ----
ID_Ba_Hz_akt	Menu Heizung > Betriebsart. Automatic = per heating curve and time program; Second heatsource = ZWE only (heat pump off); Party = day mode without night setback; Holidays = night setback until end date; Off = heating off, frost protection stays active.
ID_Ba_Bw_akt	Menu Trinkwarmwasser > Betriebsart (hot water). Same options as heating: Automatic, Second heatsource (ZWE only), Party (continuous), Holidays (blocked), Off.
ID_Einst_BA_Kuehl_akt	Menu Kuehlung > Betriebsart. Automatic = cooling released per Kuehlfreigabe rules (outdoor temperature / setpoint), Off = never cool. Passive cooling on SWC ...K3 models.
ID_Ba_Sw_akt	Menu Schwimmbad > Betriebsart (pool heating), only relevant with pool option.
ID_Einst_Solar_akt	Solar operating mode, only with solar option.
ID_Einst_BA_Lueftung_akt	Ventilation operating mode, only with ventilation option.
# ---- parameters: heating ----
ID_Einst_WK_akt	Menu Heizung > Temperatur +/- ("Temperaturabweichung"). Fine adjustment of the return setpoint in 0.5 K steps; the controller shifts the heating curve autoadaptively. Manual: change by 0.5 K, then wait 2-3 days before changing again.
ID_Einst_HzHwHKE_akt	Menu Heizung > Heizkurven > Heizkreis > Heizkurven-Endpunkt: return setpoint at -20 °C outdoor (e.g. 45 °C radiators, 30 °C underfloor). Values refer to the RETURN; flow = return + spread.
ID_Einst_HzHKRANH_akt	Menu Heizung > Heizkurven > Heizkreis > Parallelverschiebung: return setpoint at +20 °C outdoor, i.e. the curve foot point (20 °C = neutral; 22 shifts the whole curve 2 K up).
ID_Einst_HzHKRABS_akt	Menu Heizung > Heizkurven > Heizkreis > Nachtabsenkung / Differenztemperatur: how far the return setpoint is lowered in night mode (time program), negative K. Also Service > Einstellungen > Temperaturen > Nachtabsenkung HK.
ID_Einst_HzMK1E_akt	Heizkurven > Mischkreis 1 > Heizkurven-Endpunkt (flow setpoint of mixing circuit 1 at -20 °C outdoor).
ID_Einst_HzMK1ANH_akt	Heizkurven > Mischkreis 1 > Parallelverschiebung (foot point at +20 °C outdoor).
ID_Einst_HzMK1ABS_akt	Heizkurven > Mischkreis 1 > Nachtabsenkung (negative K).
ID_Einst_HzMK2E_akt	Heizkurven > Mischkreis 2 > Heizkurven-Endpunkt.
ID_Einst_HzMK2ANH_akt	Heizkurven > Mischkreis 2 > Parallelverschiebung.
ID_Einst_HzMK2ABS_akt	Heizkurven > Mischkreis 2 > Nachtabsenkung.
ID_Einst_HzFtRl_akt	Festtemperatur Heizkreis: fixed return setpoint (raw /10 °C) used when Heizkurven > Festtemperatur is selected instead of a curve.
ID_Einst_HzFtMK1Vl_akt	Festtemperatur Mischkreis 1: fixed flow setpoint (raw /10 °C).
